Linha,Entidade,Toque,Ponto
Exu,Caveira,Congo,"Ê, Caveira, firma o teu ponto na folha da bananeira Exú Caveira 
Quando o galo canta é madrugada foi Exú na encruzilhada, batizado com dendê
Rezo uma oração de traz pra frente queimo fogo e a chama ardente aquece Exú, Ô Laroiê
Eu ouço a gargalhada do Diabo, é Caveira, o enviado do Príncipe Lúcifer
É ele quem comanda o cemitério, Catacumba tem mistério e seu feitiço tem axé
Na Calunga, quando ele aparece, credo em cruz, eu rezo prece pra Exú dono da rua
Sinto a força deste momento e firmo o meu pensamento nos quatros cantos da rua
Peço a ele que me proteja onde quer que eu esteja ao longo desta caminhada
Confio em sua ajuda verdadeira, ele é Exú Caveira Senhor das Encruzilhadas"
Exu,Caveira,Congo,"Portão de ferro cadeado de madeira  (2x)
Quem manda no cemitério é seu Exu Caveira  (2x)"
Exu,Tata Caveira,Samba,"Soltaram um bode preto meia noite na calunga (2x)
Ele correu os 4 cantos foi parar na na porteira, bebeu marafo com Tatá Caveira"
Exu,Tata Caveira,Barravento,"Ele vem vindo por detrás da bananeira (2x)
Saravá seu Omulu, Exu Tata Caveira (2x)"
Exu,Tranca Rua,Nago,"Estava dormindo na beira do mar (2x)
Quando as Almas me chamaram para trabalhar (2x)
Acorda Tranca Rua vai vigiar (2x)
O inimigo está invadindo a porteira e o curral (2x)
Põe a mão nas suas armas e vai guerrear (2x)
Põe o inimigo pra fora pra nunca mais voltar (2x)"
Exu,Morcego,Congo,"Eu acordei com sede, da sede eu tive medo
Corri pelo caminho saravei Exu Morcego (2x)
Ele olhou pra mim e deu uma gargalhada
Eu saí correndo caí na encruzilhada (2x)"
Exu,Morcego,Congo,"Exu Morcego ganhou um obé de prata, pra cima ele ajuda pra baixo ele mata (2x)"
Exu,Morcego,Congo,"Voando em duas asas negras, voando pelo mundo inteiro (2x)
Na lei de exu, exu Morcego é o diabo que eu chamei primeiro (2x)"
Exu,Ventania,Congo,"Exu em festa é na encruzilhada, Exu em festa é na encruzilhada (2x)
Sua coroa é de ferro, seu tridente é de ferro, é na encruzilhada (2x)"
Exu,Ventania,Congo,"Seu Ventania onde é que tu anda, Seu Ventania o que é que tu quer? (2x)
Quero um charuto e uma marafo, e se possível sete mulher (2x)"
Exu,Ventania,Congo,"Seu Ventania é uma beleza, eu nunca vi um Exu assim (2x)
Seu ventania é uma beleza, ele é madeira que não dá cupim (2x)"
Exu,Ventania,Congo,"Venta toda noite, venta todo dia, venta toda noite, venta todo dia (2x)
Eu tô chamando, eu tô chamando, Exu seu Ventania (2x)"
Exu,Capa Preta,Barravento,"Seu Capa Preta na encruza ele é poder, seu Capa Preta na defesa ele ataca (2x)
Pisa seu exu quero ouvir sua risada, pisa Capa Preta eu quero ouvir sua risada
Seu Capa Preta demanda com quem quer ver, pro inimigo ele dá uma gargalhada"
Exu,Sete da Lira,Samba,"Sou Exu, trabalho no canto, quando canto desmancho quebranto 
Sete cordas tem minha viola, vou pra gira de lenço e cartola 
Viola é tridente cigarro é charuto, bebida é marafo
Sou Sete da Lira, derrubo inimigo, ponteiro de Aço"
Exu,Sete Porteiras,Samba,"Pinto piou na calunga, galo cantou na Angola  (2x)
Sete Porteiras pisa no terreiro, e põe o inimigo da porta pra fora (2x)"
Exu,Exu,Samba,"Exú fez uma casa sem porteira e sem janelas (2x)
E ainda não achou morador pra morar nela (2x)
Tem morador, nessa casa tem morador (2x)
Na casa que o galo canta, nessa casa tem morador (2x)"
Exu,Exu,Samba,"Não era meia noite quando o malvado chegou 
com sua capa de ferro dizendo que era doutor  (2x)
Ele era exu dizendo que era doutor, ele era seu irmão de seu Marabô  (2x)"
Exu,Exu,Congo,"Agora eu quero ver o povo da terra de ganga, agora eu quero ver o povo da terra de ganga
Ô ganga aê, ô ganda, povo da terra de ganga (2x)"
Exu,Exu,Nago,"Exu ganhou um sapato de ferro pra passear no inferno aonde é fogo só, aonde é fogo só
Exu ganhou um sapato de ferro pra passear no inferno aonde é fogo só, aonde é fogo só"
